mission_id,real_arrival_km,real_arrival_time,speed,arrival_time
2022060747,37.3,26,111.04,20.75
2022060746,18.3,14,110.61,23.53
2022060745,22,18,103.06,17.63
2022060737,8.7,6,84.66,12.45
2022060736,18.6,11,105.67,23.25
2022060735,27.1,23,98.33,38.32
2022060733,18.3,12,104.84,18.07
2022060732,23.4,17,110.44,21.25
2022060731,10.8,11,100.58,21.05
2022060728,16.1,10,105.78,23
2022060726,17.7,18,105.61,28.33
2022060723,39.5,27,103.06,27.62
2022060721,43.2,30,103.25,33.95
2022060720,12.9,11,109.68,17.95
2022060718,14.8,9,106.17,20.53
2022060717,19.9,13,106.81,22.48
2022060711,26.6,16,108.56,27.55
2022060710,22.7,18,105.28,22.57
2022060708,8.3,7,108.24,12.27
2022060698,34.7,19,104.97,28.2
2022060697,9.1,6,102.22,15.88
2022060695,6.7,8,104.81,12.33
2022060692,26.8,19,97.36,35.13
2022060690,41,26,93.35,69.25
2022060688,20.3,12,96.38,34.95
2022060686,21.8,16,101.26,32.48
2022060685,31.4,21,111.35,16.1
2022060684,16.8,12,97.98,20.12
2022060680,17.3,15,97.89,41.17
2022060679,11.6,19,102.59,25.72
2022060678,18.8,13,103.69,38.08
2022060675,31.4,21,103.99,65.97
2022060674,32,22,96.65,24.77
2022060670,17,13,100.42,20.07
2022060669,32.2,22,101.72,44.95
2022060662,12.2,8,93.36,14.6
2022060660,26.8,20,96.89,28.87
2022060659,18.3,14,99.14,28.23
2022060650,26.9,20,99.17,32.3
2022060642,21.1,17,95.61,15.27
2022060637,19.8,16,93.21,21.68
2022060634,18.9,14,103.96,38.95
2022060626,28.1,23,97.4,23.83
2022060625,23.6,16,96.18,24.28
2022060612,20.4,12,99.33,44.75
2022060602,27.1,17,103.03,59
2022060599,14.6,10,99.51,15.48
2022060598,31.4,22,103.35,17.65
2022060581,16.9,16,96.74,33.83
2022060571,39.8,25,77.94,66.63
2022060564,34.9,23,104.71,19.58
2022060563,15.5,11,104.32,16.07
2022060559,12.3,12,103.04,19.08
2022060555,17.2,15,94.95,23.83
2022060549,37.8,22,102.19,21.8
2022060547,18,12,86.73,10.78
2022060545,33.6,21,83.96,23.9
2022060543,12.2,8,89.26,15.87
2022060538,13.1,10,78.62,23.07
2022060537,12.6,7,102.48,10.8
2022060536,11.8,12,88.57,25.98
2022060528,36.4,23,101.01,36.45
2022060524,23.8,15,99.7,16.05
2022060523,16.4,19,94.62,21.92
2022060521,24.1,19,95.26,26.85
2022060511,35.6,22,104.4,45.33
2022060510,28.6,22,97,42.32
2022060502,23.6,16,101.74,44.75
2022060499,15,12,65.95,22.27
2022060498,22.4,17,101.71,27.48
2022060489,21.1,22,107.7,33
2022060484,21.5,17,107.6,19.22
2022060481,19.5,12,92.02,25.77
2022060476,22.4,16,104.91,22.38
2022060475,37.2,24,102.91,35.37
2022060470,16.1,12,92.31,30.25
2022060465,27,18,71.74,35.1
2022060447,18.1,12,80.61,30.1
2022060442,26.6,22,97.24,29.25
2022060441,24.8,16,87.53,20.47
2022060438,24.9,18,91.66,23.1
2022060420,0.5,1,95.71,0.32
2022060418,20.8,15,93.51,27.98
2022060416,25.7,23,102.85,25.02
2022060415,23.7,19,97.1,43.13
2022060414,27.4,18,93.2,41.53
2022060409,15.9,14,108.65,9.62
2022060407,28.6,19,94.49,30.42
2022060403,15.8,10,89.73,9.8
2022060401,14,10,91.25,16.78
2022060399,31.9,24,101.16,24.58
2022060398,20.6,13,95.31,10.88
2022060397,18.9,14,103.37,24.12
2022060393,29.7,20,98.91,38.88
2022060392,27.4,18,102.03,29.57
2022060389,26.7,16,99.41,24.98
2022060388,28.7,18,83.84,18
2022060387,35.4,24,87.82,81.33
2022060384,41,29,97.7,38.97
2022060383,18.2,19,97.3,38.67
2022060380,9.4,6,96.19,7.55
2022060373,27.7,19,91.55,44.55
2022060372,14,22,104.33,9.55
2022060371,20.5,13,98.84,35.48
2022060368,28.3,26,101.42,21.08
2022060361,43.1,30,99.79,29.67
2022060359,32.8,24,101.81,52.32
2022060355,21.9,18,94.64,23.42
2022060349,17.2,12,99.83,18.67
2022060347,20,24,98.77,27.07
2022060346,15.6,10,97.76,33.72
2022060344,16.6,12,109.78,14.32
2022060340,20.6,15,114.29,13.77
2022060339,11.3,11,108.76,11.72
2022060336,5.8,3,109.6,7.77
2022060334,29.8,23,103.84,31.82
2022060332,48.6,29,105.85,51.08
2022060328,32.4,22,97.44,36
2022060324,28.8,22,103.35,26.22
2022060323,25.2,20,102.85,24.02
2022060322,13.2,10,88.18,14.85
2022060318,22.3,16,84.89,19.73
2022060316,13,10,107.54,23.32
2022060311,20.6,22,103.84,13.32
2022060309,28.7,21,102.64,16.43
2022060308,21.7,14,84.68,26.77
2022060305,28.6,20,109.02,14.42
2022060302,29.6,20,105.22,31.23
2022060298,7.2,9,84.69,3.93
2022060296,49.2,32,99.75,59.27
2022060278,16.1,15,102.78,8.15
2022060274,14.3,16,94.3,7.33
2022060273,20.7,22,105.89,32.65
2022060267,21.7,16,112.24,11.48
2022060266,12.8,10,106.88,14.38
2022060264,33.8,21,106.57,66.6
2022060261,16.4,20,103.45,32.03
2022060260,33,22,101.35,37.93
2022060259,11.1,7,100.5,16.67
2022060245,9.4,6,99.79,16.07
2022060243,12,10,91.1,15.03
2022060238,7.3,5,105.39,4.72
2022060234,24.6,24,107.57,22.37
2022060212,15.6,22,97.12,30.75
2022060211,20,12,100.11,26.67
2022060210,25,25,97.96,16.4
2022060209,24.3,25,96.84,20.83
2022060206,15.1,10,100.36,16.67
2022060204,29.1,20,107.55,24.02
2022060202,15.9,10,106.94,23.77
2022060200,36.8,27,102.63,23.83
2022060196,26.4,18,108.15,29.97
2022060194,16.1,15,113.94,18.23
2022060193,15.1,13,109.59,19.58
2022060186,16.1,15,97.82,25.63
2022060185,38.6,26,107.34,22.23
2022060180,3.9,4,106.95,6.17
2022060179,31.7,22,108.12,21.75
2022060177,29.8,21,104.68,37.4
2022060175,19.6,25,109.14,14.52
2022060173,10.2,10,98.56,16.43
2022060172,22.3,23,95.99,35.32
2022060168,43.7,26,98.98,44.83
2022060156,12.4,11,102.28,24.2
2022060155,15.9,11,93.52,22.82
2022060154,31.9,31,104.19,32
2022060153,19.6,16,105.19,20.85
2022060152,23.7,25,102.79,37.38
2022060147,16.4,14,97.01,24.68
2022060146,9.8,8,99.75,18.43
2022060145,21.9,18,104.76,11.6
2022060140,16.6,15,107.82,29.83
2022060139,32.5,23,110.13,33.23
2022060138,18.5,17,110.87,15.42
2022060134,13,9,106.61,26.5
2022060127,23.4,19,93.61,31.3
2022060125,7.2,9,97.65,13.93
2022060124,34.8,22,105.83,38.03
2022060122,28,26,106.75,24.85
2022060118,21,16,82.23,26.73
2022060114,27.2,17,95.16,22.85
2022060112,19.7,13,99.4,27.48
2022060110,27.7,24,102.2,34.58
2022060109,14.1,13,93.08,21.03
2022060107,11.9,11,97.79,9.77
2022060106,20.6,14,89.78,24.62
2022060104,17.6,13,103.34,39.4
2022060103,27.9,29,104.34,15.12
2022060102,26.6,27,104.63,34.32
2022060100,30.9,18,104.47,30.02
2022060098,10.2,9,101.01,21.75
2022060095,2.4,1,101.42,1.82
2022060094,31.7,29,105.41,18.53
2022060093,25.4,17,89.17,27.57
2022060092,18.1,18,98.88,24.65
2022060091,21.6,20,96.83,11.38
2022060089,10.3,16,101.09,20.42
2022060085,18.6,14,102.85,16.2
2022060082,16.1,12,100.29,18.6
2022060080,28.4,18,93.74,38.5
2022060076,17.7,22,103.26,31.88
2022060073,23.7,17,109.86,26.9
2022060067,17.8,12,107.17,35.85
2022060065,15.5,10,99.58,18.98
2022060062,35.7,24,100.95,38.78
2022060061,24.8,22,101.86,26.52
2022060060,11.3,11,101.68,13.1
2022060059,6.5,8,102.85,5.7
2022060058,26.5,18,102.2,53.05
2022060057,17,12,101.8,26.68
2022060050,12.8,12,96.34,7.12
2022060047,22.4,16,99.02,24.58
2022060046,14.2,10,98.52,23.73
2022060044,31.6,24,97.85,18.08
2022060043,6.6,6,99.09,14
2022060042,28,20,95.76,20.1
2022060041,24.6,16,90.34,28.55
2022060039,31.4,21,101.57,18.92
2022060035,20.9,17,95.85,15.5
2022060034,9.6,6,101.44,5.17
2022060033,19.1,14,101.38,25.97
2022060032,19.5,23,101.59,45.98
2022060031,5.8,8,94.8,5.02
2022060026,20.6,22,101.41,12.2
2022060024,26.7,16,97.11,35.12
2022060022,32.3,24,99.6,27.95
2022060021,21.4,23,100.27,30.8
2022060019,15.2,12,93.13,22.97
2022060018,17.4,14,104.05,18.82
2022060016,45.1,30,80.08,36.22
2022060014,8.6,6,101.91,18.92
2022060013,6.6,10,95.49,6.4
2022060010,31,28,104.02,35.77
2022060004,14.9,10,105.53,30.12
2022060002,37.6,23,109.9,40.43
2022051870,9.4,10,106.63,6.65
2022051869,20.4,16,97.41,30.97
2022051867,13.1,12,104.55,20.32
2022051866,1.7,1,103.15,2.67
2022051864,47.3,31,100.61,40.43
2022051863,14.6,9,105.57,21.97
2022051862,32.2,24,102.02,61.17
2022051860,22.9,18,107.25,15.13
2022051859,15.9,11,98.84,19.02
2022051856,10.4,10,102.15,13.42
2022051853,13.8,8,103.25,7.17
2022051851,11.2,10,103.62,20.13
2022051848,13.4,11,103.88,14.77
2022051846,16.2,13,108.12,19.2
2022051845,20.6,19,98.04,18.88
2022051833,36,23,96.75,46.43
2022051832,28.9,20,100.72,38.77
2022051824,20.6,13,95.52,24.1
2022051822,11.2,10,105.83,15.58
2022051821,25.5,23,107.36,26.5
2022051817,19.9,22,107.42,19.5
2022051815,15.9,10,101.84,19.18
2022051814,17,11,104.18,17.17
2022051812,27,17,111.05,16.85
2022051809,22.3,16,103.7,37.18
2022051803,21.2,17,101.64,29.05
2022051796,14.6,13,103.44,21.13
2022051791,29.8,19,99.91,30.35
2022051790,28.4,18,103.62,39.97
2022051788,17.3,12,97.12,23.8
2022051785,11.8,18,103.78,17.83
2022051782,15.5,15,103.13,12.43
2022051774,22.1,14,103,15.62
2022051773,22.3,16,104.53,36.42
2022051771,21.6,26,100.32,17.02
2022051770,26.9,20,94.86,16
2022051766,16.4,19,98.28,18.28
2022051765,30.9,24,91.05,21.7
2022051763,18.1,12,100.9,35.62
2022051761,32.9,21,102.82,21.1
2022051760,17.1,15,104.22,21
2022051757,20.5,13,109.72,24.78
2022051755,4.6,6,105.2,3.25
2022051754,4.8,6,106.5,9.1
2022051753,22.8,15,112.13,21.32
2022051752,51.2,34,110.6,32.97
2022051747,17.2,15,97.33,21.05
2022051743,5.6,4,102.9,4.02
2022051742,20.6,13,102.85,14.98
2022051739,34.1,22,97.74,21.77
2022051738,38.3,29,100.11,31.48
2022051735,8.7,6,99.23,14.72
2022051734,26,17,95.66,29.13
2022051733,27.5,20,104.12,35.77
2022051727,21.3,16,106.68,21.18
2022051724,39.2,25,96.02,56.55
2022051722,12.2,12,95.63,8.03
2022051717,54.9,38,101.97,84.18
2022051716,23.6,16,101.12,23.25
2022051711,25.5,23,112.07,23.67
2022051710,29.3,19,104.22,37.48
2022051703,17.4,12,102.5,18.53
2022051702,20.8,14,107.31,28.03
2022051699,20.5,13,111.02,14.6
2022051698,27.3,19,100.5,19.4
2022051689,21.4,23,107.12,23.6
2022051686,20.6,13,101.12,20.08
2022051684,19.1,13,109.62,16.53
2022051682,11.2,7,101.94,19.43
2022051673,22.4,23,98.16,27.98
2022051672,22.9,18,94.04,19.88
2022051666,33.4,24,105.77,17.3
2022051665,14.3,19,108.22,25.25
2022051664,30.8,22,99.69,33.03
2022051659,33.8,21,100.82,22.18
2022051656,15.1,10,97.62,20.17
2022051651,17.8,12,98.33,11.28
2022051650,20.4,14,92.75,21.62
2022051647,8.9,9,39.68,15.33
2022051643,28.2,21,102.3,33.38
2022051642,10.7,9,81.63,13.33
2022051640,14,10,85.23,20.62
2022051639,17.1,15,96.83,34.63
2022051633,42.5,28,105.49,29.98
2022051632,29.9,22,96.6,26.48
2022051630,23.2,17,98.37,27.88
2022051625,4,7,100.93,8.3
2022051620,24.5,14,107,29.43
2022051614,21.2,12,104.38,22.9
2022051611,9,6,105.26,15.97
2022051608,24.8,18,112.16,19.37
2022051600,1,1,100.15,0.57
2022051588,32.9,25,87.21,36.07
2022051587,16.3,20,105,24.77
2022051585,35.5,24,103.8,35.5
2022051580,14.1,16,93.7,15.23
2022051577,28.6,26,95.5,14.35
2022051575,17,13,103.4,19.48
2022051573,28.8,23,84.5,27.63
2022051569,30.9,25,101,23.52
2022051567,5.5,4,99.43,12.68
2022051565,6.9,7,100.6,10.75
2022051562,4.8,8,97.57,8.83
