mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022041444,9.1,10,102.44,12.93,2
2022041424,16.1,15,99.71,15.87,2
2022041385,8.1,14,108.11,12.48,2
2022041381,17.2,16,110.18,10.45,2
2022041379,10.7,10,105.59,19.55,2
2022041375,7,6,104.8,15.52,2
2022041374,10.3,10,98.69,12.82,2
2022041351,12.1,7,98.19,11.85,2
2022041347,15.3,13,108.02,10.53,2
2022041339,5.5,3,85.65,3.32,2
2022041298,11,7,91.65,6.82,2
2022041287,6,4,109.11,7.68,2
2022041273,7.3,5,103.35,6.3,2
2022041272,12.2,10,95.22,10.87,2
2022041266,15.6,10,95.7,15.6,2
2022041242,14.1,16,99.46,9.93,2
2022041224,9.5,6,92.88,6.77,2
2022041223,10.6,7,102.72,16.23,2
2022041189,17.7,11,97.84,10.18,2
2022041180,20.9,17,99.26,11.85,2
2022041168,11.4,9,91.77,17.38,2
2022041112,8.8,10,86.46,6.72,2
2022041107,18.7,13,90.2,11.03,2
2022041097,19.5,12,95.07,11.42,2
2022041085,5.9,4,91.61,5.68,2
2022041034,10.5,16,104.9,19.18,2
2022041033,9.8,16,105.7,20.43,2
2022041029,12.8,12,88.43,11.43,2
2022041022,16.7,23,97.44,15.95,2
2022041017,12.1,8,102.04,19.43,2
2022041002,10,6,96.33,19.52,2
2022040989,7.3,13,94.26,9.45,2
2022040980,17,12,106.18,14.17,2
2022040966,8.1,12,96.23,10.13,2
2022040961,10.4,10,109.65,15.13,2
2022040945,10.5,10,103.97,13.8,2
2022040926,6.5,5,103.91,9.85,2
2022040877,14.2,10,100.29,13.62,2
2022040863,11.2,7,101.29,8.82,2
2022040861,10.7,8,110.71,8.18,2
2022040816,12.1,9,103.67,13.42,2
2022040801,9.1,6,82.71,18.8,2
2022040729,18.4,16,103.44,11.68,2
2022040723,6.3,6,98.32,10.48,2
2022040720,5.8,8,95.46,3,2
2022040718,20.6,13,101.62,11.05,2
2022040713,13.5,11,101.9,19.67,2
2022040707,3.6,2,112.07,2.67,2
2022040702,11.5,8,102.1,20.75,2
2022040701,13.9,10,95.01,7.75,2
2022040693,12.9,9,104.4,13.27,2
2022040681,10.2,10,104.23,19.57,2
2022040677,7.4,5,105.25,4.48,2
2022040676,10.1,8,105.95,15.25,2
